document_ptr_id,scientific_outputs,knowledge_transfer,data_location,hardcopy_location,backup_location,goal,reason
1499,"<p>Electronic key produced on CD</p>
<p>Mulga key (same as on CD) incorporated into WATTLE2 ver.2.2, which is now deployed on the web</p>
<p>Maslin BR, O'Leary M, Reid JE, Miller JT (2012). The type of Acacia aneura (mulga, Fabaceae) and ambiguities concerning the application of this name. <em>Nuytsia</em> <strong>22</strong>, pp. 269&ndash;294</p>
<p>Maslin BR, Reid JE (2012). A taxonomic revision of mulga (Acacia aneura and its close relatives) in Western Australia. <em>Nuytsia</em> <strong>22</strong>, pp</p>
<p>Rutishauser R, Pfeifer E, Reid JE, Maslin BR (2010). Pod characters of the mulga group (Acacia aneura and close relatives): an important arid zone species-complex from Australia. <em>Phyton</em> <strong>50</strong>, pp. 69&ndash;89</p>
<p>Maslin B, Reid J (2009). Understanding mulga. Available at: http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets. <strong>25/2009</strong>, 2 p.</p>","<p>The electronic key produced on CD has been distributed to various interest groups including industry and Departmental staff. Elucidation of the patterns of variation within species of the mulga group will provide a reliable means of identifying the taxa so that they may be effectively managed, conserved and sustainably utilised.</p>",<p>Electronic data stored on: WATTLE2 ver.2.2</p>,,,force_completed,
1785,"<p>Mohring MB, Nutt CD, Bancroft KP, Friedman KJ, Severin CR, Douglas RA &amp; and Fetahovic E (2015) <em>Report for Pluto Offset &lsquo;D&rsquo; Project &lsquo;i&rsquo; &ndash; Learn from the past to manage the future.</em> Department of Parks and Wildlife, Perth.</p>","<p>Information and data collated during this project is being is currently being used to inform the planning and implementation of other Pluto offset D projects:</p>
<ul>
<li>Project 2, Patterns and distribution of major marine communities (incl. key functional groups) and large marine fauna in the Dampier Archipelago/Cape Preston Region;</li>
<li>Project 3, Patterns and trends in human use of the marine environment the Dampier Archipelago/Cape Preston Region; and</li>
<li>Project 4, Establishment of long-term reference sites.</li>
</ul>
<p>&nbsp;</p>","<p>Data from this project is stored on:</p>
<ul>
<li>the Marine Science Program NAS server and back-up;</li>
<li>the Departmental CKAN data catalogue; and</li>
<li>Departmental Corporate files 2008/002194-1 and 2008/002194-2.</li>
</ul>","<p>The final report is in the Parks and Wildlife library, filed under code MS2015-147.</p>",,force_completed,<p>This project has been completed.</p>
1525,"<p>Huisman JM, Kendrick AJ, Rule MJ (2015) Mangrove-associated macroalgae and cyanobacteria in Shark Bay, Western Australia. <em>Journal of the Royal Society of Western Australia</em> 98, 48-68.</p>
<p>Rule MJ, Kendrick AJ, Holley DK (2014) Morphological variation in the structure of monospecific mangrove stands in an arid World Heritage Area. <em>Conservation Science Western Australia</em> 9, 215&ndash;225.</p>
<p>Rule MJ, Kendrick AJ, Holley DK (2012) Spatial variation in the morphological structure of mangrove stands in an arid World Heritage Area: challenges for management and conservation, in: MMM3 : Meeting on Mangrove Ecology, Functioning and Management. Galle, Sri Lanka, 2-6 July 2012.</p>
<p>Rule MJ, Kendrick AJ, Huisman JM (2012) Mangroves of the Shark Bay Marine Park. DEC Information Sheet 46/2012.</p>
<p>Rule MJ, Kendrick AJ, Huisman JM (2011) Spatial variation in the functional morphology of mangroves in the Shark Bay World Heritage Area. Department of Environment and Conservation Science Project Plan SPP 2011-003.</p>
<p>Kendrick AJ, Huisman JM, Rule MJ (2009) Marvellous mangroves. <em>Landscope</em> 50&ndash;56.</p>",,"<p>Electronic data stored on:</p>
<p>Corporate file: 2009/000778-1 Biogeography of Shark Bay Marine Park Mangrove Communities, The - Marine Science Program Research Project</p>
<p><a href=""https://confluence.dpaw.wa.gov.au/display/sd/Marine+Project+SPP-2011-003+Shark+Bay+Mangroves"">https://confluence.dpaw.wa.gov.au/display/sd/Marine+Project+SPP-2011-003+Shark+Bay+Mangroves</a></p>
<p>Backup copy stored at: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p>
<p>Marine Science Program</p>","<p>Hard copy records held at:</p>
<p>Corporate file: 2009/000778-1 Biogeography of Shark Bay Marine Park Mangrove Communities, The - Marine Science Program Research Project</p>",,completed,
1528,"<p>Whitford KR, Stoneman G, Seymour A, Murray P, Eaton L, Tanimoto M (2012). The effects of cording, timber load and soil gravel content on soil compaction during timber harvesting on moist soils. Australian Forestry 75, 107-119</p>","<p>Whitford K (2011). Cording to reduce soil disturbance during timber harvesting. Available at: http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets. 43/2011, 2 p</p>
<p>Whitford K (2009). Reducing soil disturbance during timber harvesting. Available at: http://www.dpaw.wa.gov.au/about-us/science-and-research/publications-resources/111-science-division-information-sheets. 19/2009, 2 p.</p>
<p>Whitford KR, Williams MR, Maxwell MA, McArthur B (2001). Evaluation of key soil indicators of sustainability in Australian Mediterranean forests (indicators 4.1d, 4.1e). Part 2. The impact of logging on soil physical properties at three sites in the northern jarrah forest. Forest and Wood Products Research and Development Corporation, Final Report, Project No. 99.802, Melbourne, Victoria. 69 p.</p>
<p>Whitford K (2001). Evaluation of key soil indicators of sustainability in Australian Mediterranean forests (indicators 4.1d, 4.1e). Department of Conservation and Land Management, 106 p.</p>
<p>Whitford K (2001). Evaluation of key soil indicators of sustainability in Australian Mediterranean forests (indicators 4.1d, 4.1e). In A Workshop on Environmental Effects of Timber Harvesting in the Jarrah Forest: Perup Forest Ecology Centre, 7 &amp; 8 May 2001: a Synthesis of Recent Research by the Science Division, Department of Conservation &amp; Land Management (ed L McCaw). Department of Conservation and Land Management, Kensington, WA. pp. 6&ndash;7</p>
<p>Whitford KR (2001). The effect of fire frequency on soil organic matter and bulk density in jarrah and karri forest:. Department of Conservation and Land Management, Dwellingup. 29 p.</p>
<p>Whitford KR (2001). The impact of logging on soil physical characteristics at three sites in the northern jarrah forest. Department of Conservation and Land Management, Dwellingup. 26 p.</p>
<p>Whitford KR, Williams MR, Maxwell MA, MacArthur B (2001). The impact of soil compaction on the growth of even aged karri (Eucalyptus diversicolor F.Muell.) regrowth stands. Department of Conservation and Land Management, Dwellingup. 19 p.</p>",,<p>Dwellingup Research Centre</p>,,completed,
2870,,,,,,force_completed,
1747,"<p>Markey A, Kern S, Gibson N (2012). Floristic communities of the Ravensthorpe Range, Western Australia. Conservation Science Western Australia 8, pp. 187&ndash;239</p>
<p>Preliminary assessment of taxonomic and conservation status of Lepidosperma species (Cyperaceae) from the greater Ravensthorpe Range : research report to the Department of Environment and Conservation / research conducted by Russell Barrett, Matthew Barrett and Mark Wallace -- [Perth]: Kings Park &amp; Botanic Garden, 2009.</p>
<p>The Short - Range Endemic Invertebrate Fauna of the Ravensthorpe Range, Harvey, M.S., Leng, M.C. 2008 : Department of Terristerial Zoology, WA Museum.Catalog Report</p>
<p>Floristic survey of the Ravensthorpe Range, 2007 / prepared by S. Kern, R. Jasper, D. True ; for, Department of Environment &amp; Conservation -- Woodvale, W.A.: Dept. of Environment &amp; Conservation, 2008.<br />Unpublished report; Title from cover; CD-ROM in back pocket</p>","<p>Floristic data made available through ""Yilgarn Flora Survey"" theme page on NatureMap</p>
<p>Floristic data from Kern report lodged with AEKOS facility</p>
<p>Floristic site data and floristic community overview available at NatureMap site in 300+ factsheets</p>
<p>Detailed floristic community descriptions available in Conservation Science paper</p>","<p>Floristic site data: NatureMap</p>
<p>Floristic voucher collections: WA Herbarium</p>
<p>Inverterbrate collections: WA Muesum</p>",<p>Kern report which contains primary data as appendices lodged in DPAW library.</p>,,completed,
1503,"<p>Hollister C, Lander N, Thiele K (2013). <em>Keys to the Proteaceae of Western Australia.</em> Department of Environment and Conservation, Kensington, WA. 1 CD-ROM</p>
<p>Lander NS (2013). Pilbara, a new genus of Asteraceae (tribe Astereae ) from Western Australia. <em>Nuytsia</em> <strong>23</strong>, pp. 117&ndash;123</p>
<p>Lander NS, Hurter PJH (2013). Pleurocarpaea gracilis (Asteraceae tribe Vernonieae), a new species from the Pilbara region of Western Australia. <em>Nuytsia</em> <strong>23</strong>, pp. 109&ndash;115</p>
<p>Lander NS (2008). Elucidation of Olearia species related to O. paucidentata (Asteraceae: Astereae). <em>Nuytsia</em> <strong>18</strong>, pp. 83&ndash;95</p>
<p>Lander NS (2008). New species of Olearia (Asteraceae: Astereae) from Western Australia. <em>Nuytsia</em> <strong>18</strong>, pp. 97&ndash;106</p>
<p>Hollister C, Lander N (2007). <em>Western Australian Proteaceae: interactive identification &amp; information retrieval : Banksia &amp; Dryandra, Conospermum, Grevillea, Hakea, Isopogon &amp; Petrophile (CDROM).</em> Western Australian Herbarium, Kensington, WA. 1 CD-ROM</p>","<p>Knowledge of species in these families and the ability to identify them has been critical for assessing conservation status, prioritising species in these families for conservation management and for conservation planning. In particular, resolving the taxonomic status of phrase-named (poorly-known) taxa and describing new species has been an important component in the documentation of the flora of the state.</p>",<p>Electronic data stored on: FloraBase</p>,,,force_completed,
1519,"<p>McCaw L and Middleton T (2015) Recovery of tall open eucalypt forest in south-western Australia following complete crown scorch. Fire Ecology <strong>11</strong> (3) 95-107. <em>doi: 10.4996/fireecology.1103095</em></p>
<p>Middleton T (2001) Nuyts Wilderness fire impact report, 7-11 March 2001. Department of Conservation and Land Management.</p>","<p>Findings from this project have informed recovery actions following large bushfires in the Warren Region including the 2012 Babbington and 2015 O'Sullivan fires.</p>
<p>Knowledge gained from this project has been incorporated into Fire Management Guideline E2 Tingle forest.</p>",<p>T:\532-Forest &amp; Tree Crops Group\Shared Data\Lachies data\Sustainable Forest Management\Forest ecosystems\Tingle</p>,<p>Original hard copy data are stored in the Fire Research filing cabinet at the Manjimup Research Centre.</p>,,completed,
3599,,,,,,completed,
1502,"<p>Crane C, Burgess TI (2013). <a href=""http://dx.doi.org/10.5598/imafungus.2013.04.01.11"">Luteocirrhus shearii gen. sp. nov. (Diaporthales: Cryphonectriaceae) pathogenic to Proteaceae in the South Western Australian Floristic Region</a>. <em>IMA Fungus</em> <strong>4</strong>, pp. 111&ndash;121</p>
<p>Crane CE, Shearer BL, Barrett S, Dunne CP (2012). Influence of climate on canker disease in the Proteaceae of the Southwest Australian Floristic Region (ABSTRACT). In <em>Program and Abstracts: Australasian Systematic Botany Society Conference 2012: Local Knowledge, Global Delivery: 23-28 September, Perth, Western Australia</em> p. 26</p>
<p>Crane CE, Barrett S, Shearer BL, Dunne CP (2010). Comparison of the impacts of plant canker disease and climate on Proteaceae and evaluation of selected fungicides as a management tool for canker control in the threatened flora Banksia verticillata and Lambertia orbifolia (ABSTRACT). In <em>Threatened Species Research Forum: Western Australian Ecology Centre, 9th July 2010: a Review of WA Government Research into Threatened Species</em> p. 11</p>
<p>Crane CE, Barrett S, Shearer BL, Dunne CP (2010). Comparison of the impacts of plant canker disease and climate on Proteaceae and evaluation of selected fungicides as a management tool for canker control in the threatened flora Banksia verticillata and Lambertia orbifolia (POSTER ABSTRACT). In <em>Australian Network for Plant Conservation Inc.: 8th National Conference: Planning Conservation to Achieving Restoration, 28 September to 1 October 2010, Perth, W.A.: Program &amp; Abstracts</em> Australian Network for Plant Conservation, Canberra. p. 41</p>",<p>This work has shown that cankers are increasing in incidence and severity across the south-west and this may to be associated with stress induced by climate change. The evaluation of fungicides demonstrates that they can be used selectively to reduce rates of lesion development and are being be considered for trial application in high-priority threatened species. In particular Canker disease is threatening a number of <em>Banksia verticillata</em> populations and control measures using fungicides are being currently investigated in those populations.</p>,"<p>Electronic data stored on: Colin Crane computer - Vegetation Health Service FEMD.</p>
<p>Backup copy stored at: U Drive</p>",,,completed,
1751,"<p>Stone LM, Byrne M, Virtue JG (2008) An environmental weed risk assessment model for Australian forage improvement programs. Australian Journal of Experimental Agriculture 48, 568-574.</p>
<p>Stone LM, Byrne M, Virtue JG (2008) Identifying and managing environmental weed risk in perennial pasture research. Plant Protection Quarterly 23, 73-76.</p>
<p>Byrne, M., Stone, L. and Millar, M. (2009) Environmental risk in agroforestry. In Agroforestry for Natural Resource Management&nbsp;. In Nuberg, I., George, B. and Reid, J. (eds) CSIRO Publishing, 107 &ndash; 126.</p>
<p>Stone, L. M., &amp; Byrne, M. (2011). Comparing the Outputs of Five Weed Risk Assessment Models Implemented in Australia: Are There Consistencies across Models? Plant Protection Quarterly, 26(1), 29 -35.&nbsp;</p>
<p>Byrne M, Stone L and Millar M A (2011). &lsquo;Assessing genetic risk in revegetation&rsquo;. <em>Journal of Applied Ecology </em>48: 1365-1373.</p>
<p>Munday C J, Bettink K, Byrne M, and Stone L (2012) Genetic risk assessment to compliment weed risk assessment in the selection and management of perennial species for agricultural systems in southern Australia. In proceedings of the 18th Australasian weed conference, Melbourne.&nbsp;</p>
<p>Munday C J, Bettink K, Byrne M, and Stone L (2014) The right plant in the right place: the management of contentious species to minimise the risk to native environments paper accepted for presentation at the 5th Victorian Weed Conference, Geelong, Victoria, May 2014.</p>
<p>All documents listed below are published on the Future Farm Industries Cooperative Research Centre&nbsp;website <a href=""http://www.futurefarmonline.com.au/farm-research/weed-risk"">http://www.futurefarmonline.com.au/farm-research/weed-risk</a></p>
<p>Weed risk assessment protocol, template and score sheet.</p>
<p>Genetic risk assessment and template</p>
<p>32 Species weed risk assessments and score sheet</p>
<p>Management guides for species with a High weed risk score (<em>Dactylis glomerata, Pennisetum clandestinum, Phalaris aquatic and Thinopyrum ponticum )</em></p>
<p>Information sheets for a general&nbsp;audience on weed risk and genetic risk</p>
<p>Experimental site guidelines&nbsp; and checklist for evaluation trials</p>
<p>&nbsp;</p>","<p>The Weed and genetic risk project worked with researchers and students&nbsp;to raise the awareness of the Environmental risk strategy, developed as part of the project, and&nbsp;ensure that species promoted by the CRC had undergone weed risk assessment.</p>
<p>The project outcomes were promoted to a wide audience of stakeholder, researchers, advisors, land managers and the general public by scientific publications, conference and workshop presentations and contributions to Future Farm Industries Cooperative&nbsp;Centre publications on line and in print.</p>
<p>Weed and genetic risk protocols,&nbsp;assessments and supporting documentation are available to a wide audience on line at&nbsp;<a href=""http://www.futurefarmonline.com.au/farm-research/weed-risk"">http://www.futurefarmonline.com.au/farm-research/weed-risk</a></p>
<p>&nbsp;</p>",,"<p>Department of Parks and Wildlife, Science Division, Kensington</p>",,force_completed,<p>Project completed</p>
1508,"<p><strong><em>Science:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </em></strong></p>
<p><strong>A proposal to expand Western Shield : an integrated approach to best practice vertebrate pest control for positive conservation outcomes at a landscape and local scale</strong> 2005 Paul de Tores, Nicky Marlow and Dave Algar -- Unpublished report-: Dept. of Conservation &amp; Land Management, Como, W.A.<strong>&nbsp;</strong></p>
<p><strong>Milestone report for </strong><strong>IACRC: woylie decline in Dryandra Woodland : mesopredator release?</strong> 2008 Nicky Marlow and Steve Lapidge &nbsp;Unpublished report-: Dept. of Conservation &amp; Land Management, Como, W.A..&nbsp;</p>
<p><strong>Introduced predator control and sustained fauna recovery in south-west Western Australia : woylie decline in Dryandra Woodland : is there a mesopredator release effect?</strong> / Nicky Marlow Neil Thomas, Andy Williams, Brian Macmahon, John Lawson &amp; Lisa Richards...Woodvale, W.A. Dept. of Environment &amp; Conservation 2008.<br /> Unpublished report; Title from cover; Co-authors:<strong><em>&nbsp;</em></strong></p>
<p><strong>Investigation of woylie (brush-tailed bettongs) population declines : a critical and challenging problem</strong> / Adrian Wayne . Keith Morris, Nicky Marlow &amp; Peter Orell. -- Surfers Paradise, Qld.: Conference Organising Committee, Paper presented at: Australian College of Veterinary Scientists, Scientific Meeting, Surfers Paradise, Queensland, 2-4 July 2009&nbsp;</p>
<p><strong>Camera traps: paparazzi in the bush</strong> / by Neil Thomas, Brian Macmahon and Nicky Marlow, 2010&nbsp;</p>
<p><strong>Final report for Invasive Animals Cooperative Research Centre Project 10.U.01: Introduced predator control and sustained fauna recovery in SW WA - is there a mesopredator release effect? Sub-project 3, woylie decline in Dryandra Woodland: mesopredator release? </strong>&nbsp;Nicola Marlow ... [et al.] -- Woodvale, W.A.: Dept. of Environment &amp; Conservation, 2012.&nbsp;</p>
<p><strong>The relative merits of predator-exclusion fencing and repeated fox baiting for protection of native fauna : five case studies from Western Australia</strong> Paul J. de Tores and Nicky Marlow -- New York, N.Y.: Springer, 2012.&nbsp;</p>
<p><strong>Integrated genetic and demographic comparisons across space and time reveal important insights into a mammalian species (Bettongia penicillata) undergoing rapid decline</strong>: Adrian Wayne, Marika Maxwell, Nicola Marlow &amp; Neil Thomas&nbsp;</p>
<p><strong>The diet of foxes (Vulpes vulpes) in fragmented Wheatbelt reserves in Western Australia: implications for woylies (Bettongia penicillata) and other native fauna</strong>, Conservation Science Western Australia submitted.&nbsp;</p>
<p><strong>Feral cats are the dominant predator of woylies (Bettongia penicillata) in the presence of fox control</strong> / Nicola J. Marlow Neil D. Thomas, Andrew A.E. Williams, Brian Macmahon, John Lawson &amp; John Angus Conservation Science Western Australia submitted</p>","<p><strong>Mesopredator release: a response to 1080 control of foxes in WA : what is the evidence and what are we doing</strong> / Paul de Tores, Nicky Marlow, et al. -- Perth: Conference Organising Committee, 2007.&nbsp;</p>
<p><strong>Western Shield: progress and challenges</strong> / Peter Orell John Asher, Nisha Powell, Peter Mawson, Dave Algar, Keith Morris, Rob Brazell, Nicky Marlow &amp; Paul Brown.- Dwellingup, W.A.: Conference Organising Committee, 2008.</p>
<p><strong>Decline of woylies (Bettongia penicillata) in Dryandra Woodland: is there a mesopredator effect?</strong> / N. Marlow N. Thomas, B. Macmahon, A. Williams &amp; J. Lawson. Dwellingup, W.A.: Conference Organising Committee, 2008&nbsp;</p>
<p><strong>Behavioural responses of Australian species to invasive predators</strong> / Jennyffer Cruz . Duncan R. Sutherland, Nicky J. Marlow &amp; Paul J. de Tores..Mendoza, Argentina: Conference Organising Committee, 2009.&nbsp;</p>
<p><strong>Woylie (Bettongia penicillata ogilbyi): research for conservation</strong> / Adrian Wayne, Nicky Marlow, Paul de Tores -- Perth: Conference Organising Committee, 2010.&nbsp;</p>
<p><strong>Predation by foxes and cats, the ubiquitous threat to biodiversity conservation in Australia : is it made worse or ameliorated by mesopredator release?</strong> / Paul de Tores Nicky Marlow, Dave Algar, Keith Morris, Al Glen &amp; Duncan Sutherland. Perth: Conference Organising Committee, 2010.</p>",,"<p>Hard copy records held at&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Conservation library, DPaW Kensington</p>
<p>Electronic data stored on:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; T: Shared data/ Nickym/ Mesopredator</p>
<p>Backup copy stored at:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Z: Nickym/Mesopredator (external drive)</p>",,force_completed,
1767,,,,,,completed,<p>Project is complete and findings have been published in scientific papers.</p>
1265,"<p>Holmes TH, Wilson SK, Travers MJ, Langlois TJ, Evans RD, Moore GI, Douglas RD, Shedrawi G, Harvey ES, Hickey K (2014) A comparison of visual and stereo-video based fish community assessment methods in tropical and temperate marine waters of Western Australia. <em>Limnology and Oceanography: Methods, </em>11: 337-350.</p>","<p>Conference Oral Presentation:</p>
<p>Holmes T H, et al. A comparison of visual and stereo-video based fish community assessment menthods in tropical and temperate marine waters of Western Australia. <em>9<sup>th</sup> Indo-Pacific Fish Conference, Okinawa, Japan. June 2013.</em></p>
<p>&nbsp;</p>
<p>Conference Poster Presentation:</p>
<p>Holmes, T. H., Wilson, S. K., Travers, M. J. &nbsp;A comparison of visual and stereo-video based fish community assessment methods in tropical and temperate marine waters of Western Australia.<em> <em>Australian Coral Reef Society Conference, 2011, Sunshine Coast.</em></em></p>","<p><a href=""http://internal-data.dpaw.wa.gov.au/dataset/shallow-water-fish-communities-at-ningaloo-mpa"">http://internal-data.dpaw.wa.gov.au/dataset/shallow-water-fish-communities-at-ningaloo-mpa</a></p>
<p>&nbsp;</p>",<p>None</p>,,force_completed,"<p>Project is completed. Project was accidentally reactivated this year, but has now been returned to its closed state</p>"
